ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"43.156.34.150","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","240","Tencent Cloud Computing","7117","socks4","1","100","2593","2597","2025-05-23T19:53:47.821Z","135"
"202.144.134.150","elite","AS18024","BT","Bhutan Telecom Ltd","284","Tyangtsedz","5678","socks4","1","100","127","127","2025-05-23T19:53:38.941Z","147"
"103.48.68.29","transparent","AS136290","IN","Country Online Services PVT LTD","179","Country Online Services PVT LTD","84","http","38696","100","28","28","2025-05-23T19:53:36.243Z","1004"
"185.44.232.30","elite","AS200845","ES","AVATEL TELECOM, SA","40","AVATEL TELECOM, SA","53281","http","5000","100","7","7","2025-05-23T19:53:36.440Z","978"
"49.71.105.203","elite","AS4134","CN","Chinanet","234","Chinanet JS","8888","http","5001","45","20","44","2025-05-23T19:53:35.679Z","222"
"203.124.53.122","elite","AS7590","PK","COMSATS","143","CIS HQ","5678","socks4","1","89","8645","9707","2025-05-23T19:53:34.974Z","616"
"139.162.151.176","elite","AS63949","DE","Akamai Technologies, Inc.","7","Linode, LLC","71","socks4","1","100","9858","9859","2025-05-23T19:53:33.489Z","204"
"88.119.139.237","transparent","AS8764","LT","Telia Lietuva","32","Telia Lietuva, AB","53281","http","151","100","12","12","2025-05-23T19:53:33.229Z","154"
"31.211.142.115","elite","AS197897","BG","5KOM","37","N/A","8192","socks5","1","95","2923","3072","2025-05-23T19:53:32.336Z","260"
"187.95.82.57","elite","AS262696","BR","Turbonet TelecomunicaΓ§Γ΅es","210","Turbonet TelecomunicaΓ§Γ΅es","3629","socks4","1","99","9687","9782","2025-05-23T19:53:32.654Z","485"
"1.32.57.85","elite","AS4788","MY","TM TECHNOLOGY SERVICES SDN BHD","186","Unifi BIZ","5678","socks4","1","97","3010","3112","2025-05-23T19:53:31.539Z","874"
"180.191.22.27","transparent","AS132199","PH","Globe Telecom","321","N/A","8082","http","5399","100","10","10","2025-05-23T19:53:31.731Z","2299"
"110.77.161.197","elite","AS131090","TH","CAT Telecom Public Company Limited","192","CAT BB","4145","socks4","1","80","7835","9745","2025-05-23T19:53:31.540Z","592"
"182.253.158.52","elite","AS17451","ID","BIZNET","185","N/A","5678","socks4","1","97","9478","9769","2025-05-23T19:53:31.329Z","1904"
"110.34.166.186","elite","AS35908","SG","Krypt Technologies","163","N/A","4153","socks4","1","99","9746","9811","2025-05-23T19:53:31.327Z","2408"
"181.129.83.234","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","172","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","1","7","660","9876","2025-05-23T19:53:31.328Z","2184"
"43.134.178.142","elite","AS132203","SG","Aceville Pte.ltd","241","N/A","7654","http","8710","75","3","4","2025-05-23T19:53:30.330Z","5163"
"190.53.45.222","elite","AS27742","SV","Amnet Telecomunicaciones S.A.","170","Millicom Cable El Salvador S.a. De C.V","33333","socks4","1","78","2398","3062","2025-05-23T19:53:29.252Z","3282"
"47.242.244.23","elite","AS45102","HK","Alibaba.com LLC","305","Hong Kong","1080","socks4","1","68","6659","9786","2025-05-23T19:53:29.831Z","709"
"171.234.64.234","elite","AS7552","VN","Viettel Corporation","342","VIETEL","80","socks4","61","73","7122","9752","2025-05-23T19:53:29.631Z","3711"
"93.190.138.107","elite","AS49981","NL","WorldStream B.V.","16","N/A","56786","http","6103","96","2080","2168","2025-05-23T19:53:29.349Z","2816"
"64.90.48.27","elite","AS26347","US","New Dream Network, LLC","152","New Dream Network, LLC","24650","socks5","1","99","9795","9854","2025-05-23T19:53:29.443Z","2590"
"51.77.73.78","elite","AS16276","ES","OVH SAS","12","Sastre Vazquez Antonio","31979","socks4","1","100","9809","9821","2025-05-23T19:53:29.252Z","3093"
"106.75.154.243","elite","AS58466","CN","UCLOUD","256","Shanghai UCloud Information Technology Company Limited","999","socks4","1","86","8371","9688","2025-05-23T19:53:29.631Z","4991"
"93.171.224.60","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","37","PE TV and Radio Company Kentavr-TV","4153","socks4","1","100","2324","2328","2025-05-23T19:53:29.253Z","2982"
"41.242.69.196","elite","AS37605","NG","General Telecommunication Networks Limited","258","General Telecommunication Networks (NIG) Limited","5678","socks4","1","85","131","154","2025-05-23T19:53:29.632Z","4880"
"149.20.253.101","elite","AS18615","US","Mainstream Fiber Networks, LLC","107","Mainstream Fiber Networks, LLC","12551","socks4","1","100","9856","9869","2025-05-23T19:53:29.443Z","2012"
"47.242.155.132","elite","AS45102","HK","Alibaba.com LLC","309","Hong Kong","10900","socks4","1","100","9716","9746","2025-05-23T19:53:29.648Z","1404"
"203.99.57.145","elite","AS23674","PK","Nayatel (Pvt) Ltd","144","Micronet","5678","socks4","1","100","9742","9778","2025-05-23T19:53:28.837Z","3693"
"14.102.61.94","elite","AS137409","EG","GSL Networks Pty LTD","7","VPN Consumer Cairo, Egypt","5678","socks4","1","24","2390","9806","2025-05-23T19:53:28.837Z","4600"
"50.96.204.6","elite","AS7029","US","Windstream Communications LLC","114","Windstream Communications LLC","18351","socks4","1","100","2663","2670","2025-05-23T19:53:28.836Z","3897"
"113.226.251.10","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","174","N/A","8118","socks4","1","74","7181","9718","2025-05-23T19:53:28.835Z","3818"
"212.33.197.37","elite","AS43754","IR","Asiatech Data Transmission company","93","WANGSU","80","socks5","61","100","2954","2966","2025-05-23T19:53:27.654Z","3991"
"194.233.91.18","elite","AS141995","SG","Contabo Asia Private Limited","157","Contabo Asia Private Limited","18194","socks5","1","81","2465","3042","2025-05-23T19:53:27.655Z","1903"
"128.199.27.84","elite","AS14061","IN","DigitalOcean, LLC","151","DigitalOcean, LLC","45857","socks4","1","99","9663","9790","2025-05-23T19:53:27.655Z","4999"
"115.74.158.252","elite","AS7552","VN","VIETELxdsl","324","xDSL Services","1080","socks4","1","71","176","249","2025-05-23T19:53:27.656Z","4610"
"143.244.140.236","elite","AS14061","IN","DigitalOcean, LLC","156","DigitalOcean, LLC","8444","socks4","1","84","8146","9755","2025-05-23T19:53:26.446Z","4878"
"91.226.97.222","elite","AS64080","GB","SYN-UK","17","Amberway Development LTD","80","socks4","1","100","2452","2452","2025-05-23T19:53:26.447Z","4995"
"54.37.91.252","elite","AS16276","DE","OVH SAS","7","OVH Ltd","63843","socks5","1","100","9718","9745","2025-05-23T19:53:26.449Z","3322"
"195.225.49.134","elite","AS51357","UA","INETIN","35","Freenet Ltd.","55774","socks4","1","99","9751","9809","2025-05-23T19:53:26.450Z","3393"
"193.233.133.3","elite","AS210644","FR","xorek.cloud International LTD","7","xorek.cloud International LTD","33722","socks4","1","100","749","749","2025-05-23T19:53:26.532Z","4492"
"91.203.165.23","elite","N/A","UA","FOP Koval Dmitro Orestovich","42","N/A","5678","socks4","1","94","2906","3092","2025-05-23T19:53:26.444Z","4089"
"38.91.107.229","elite","AS63023","US","GTHost","121","Globaltelehost Corp","34261","socks4","1","77","2220","2899","2025-05-23T19:53:25.237Z","3015"
"128.199.114.221","elite","AS14061","SG","DigitalOcean, LLC","155","DigitalOcean, LLC","60879","socks5","1","99","9637","9720","2025-05-23T19:53:25.238Z","4991"
"103.206.225.133","elite","AS134874","IN","Acme Diginet Corporation Pvt. Ltd","181","Acme Diginet Corporation Pvt. Ltd.","4145","socks4","1","33","3209","9838","2025-05-23T19:53:25.239Z","4430"
"1.0.0.123","elite","AS13335","AU","Cloudflare, Inc","7","APNIC and Cloudflare DNS Resolver project","80","socks5","1","100","2950","2950","2025-05-23T19:53:25.231Z","4479"
"203.76.103.117","elite","AS23688","BD","Link3 Technologies Limited","193","Corporate Subscriber","4145","socks4","1","97","9542","9855","2025-05-23T19:53:24.052Z","3792"
"186.235.201.10","transparent","AS262673","BR","Vero S.A","217","Vero S.A","8080","http","5387","100","20","20","2025-05-23T19:53:24.046Z","4312"
"152.228.154.20","elite","AS16276","FR","OVH SAS","18","serverfrus Amin","80","http","1593","100","44","44","2025-05-23T19:53:24.048Z","3722"
"51.81.89.146","elite","AS16276","US","OVH SAS","86","OVH US LLC","50605","socks5","1","97","9511","9797","2025-05-23T19:53:24.049Z","2888"
"45.115.115.42","elite","AS55828","BD","Drik ICT Ltd","181","Drik ICT Ltd","4153","socks4","1","92","2327","2540","2025-05-23T19:53:22.059Z","4504"
"178.132.5.26","elite","AS49981","NL","WorldStream B.V.","16","Worldstream","16937","socks4","1","100","2554","2554","2025-05-23T19:53:22.056Z","4225"
"149.154.69.203","elite","AS29182","RU","JSC IOT","43","JSC IOT","3080","socks5","1","99","9734","9862","2025-05-23T19:53:22.058Z","3628"
"186.190.228.83","elite","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","180","TV AZTECA SUCURSAL COLOMBIA","4153","socks4","1","100","3055","3061","2025-05-23T19:53:20.957Z","4088"
"74.62.23.242","elite","AS20001","US","Charter Communications","161","Spectrum","39593","socks4","1","97","3002","3091","2025-05-23T19:53:20.958Z","4603"
"35.185.202.12","elite","AS396982","US","Google LLC","147","Google Cloud (us-west1)","80","socks4","1","100","1884","1889","2025-05-23T19:53:20.956Z","4311"
"104.248.155.139","elite","AS14061","SG","DigitalOcean, LLC","155","DigitalOcean, LLC","8118","socks4","1","100","2274","2285","2025-05-23T19:53:20.957Z","4686"
"162.241.204.101","elite","AS46606","US","Unified Layer","158","Unified Layer","60526","socks4","1","100","1668","1674","2025-05-23T19:53:19.539Z","2604"
"59.36.24.138","elite","AS4134","CN","Chinanet","253","Chinanet GD","1080","socks5","1","45","1378","3085","2025-05-23T19:53:19.540Z","3821"
"43.229.254.163","elite","AS23679","ID","PT. Media Antar Nusa","183","Nusanet","1080","socks4","61","99","9610","9756","2025-05-23T19:53:19.538Z","3104"
"173.212.223.23","elite","AS51167","FR","Contabo GmbH","7","Contabo GmbH","7316","socks4","1","98","3048","3098","2025-05-23T19:53:19.549Z","4900"
"103.248.30.2","elite","AS133720","IN","websurf","149","N/A","5678","socks4","1","99","9630","9741","2025-05-23T19:53:19.538Z","4408"
